,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay,params_dropout,params_lr,params_transform,state
93,93,60.32,2025-10-24 02:16:51.678342,2025-10-24 02:17:46.821701,0 days 00:00:55.143359,32,1e-07,0.02232060076434057,0.00037438741453144303,easy_transform,COMPLETE
94,94,28.1,2025-10-24 02:17:46.822698,2025-10-24 02:18:29.845336,0 days 00:00:43.022638,128,0.001,0.061122595930238326,0.0002510758159235992,easy_transform,COMPLETE
95,95,46.5,2025-10-24 02:18:29.846336,2025-10-24 02:19:25.547174,0 days 00:00:55.700838,32,1e-07,0.084148711794442,0.0004960983924508783,easy_transform,COMPLETE
96,96,58.82,2025-10-24 02:19:25.548223,2025-10-24 02:20:20.420937,0 days 00:00:54.872714,32,1e-07,0.01919506352646011,0.0003290469116335122,easy_transform,COMPLETE
97,97,39.92,2025-10-24 02:20:20.421933,2025-10-24 02:21:17.236768,0 days 00:00:56.814835,32,1e-07,0.11855487048499724,0.00043825316691572505,easy_transform,COMPLETE
98,98,60.24,2025-10-24 02:21:17.237767,2025-10-24 02:22:12.397599,0 days 00:00:55.159832,32,1e-07,0.02244301869835074,0.0003749188194048426,easy_transform,COMPLETE
99,99,75.62,2025-10-24 02:22:12.398981,2025-10-24 02:23:07.324793,0 days 00:00:54.925812,32,1e-07,0.00012740702421867173,0.000658887684191526,easy_transform,COMPLETE
100,100,18.02,2025-10-24 02:23:07.325792,2025-10-24 02:24:02.476198,0 days 00:00:55.150406,32,0.01,0.05779338169092941,0.0006767894724452417,easy_transform,COMPLETE
101,101,68.98,2025-10-24 02:24:02.476198,2025-10-24 02:25:00.705706,0 days 00:00:58.229508,32,1e-07,0.010250447511357463,0.0005174401006961971,easy_transform,COMPLETE
102,102,74.06,2025-10-24 02:25:00.706719,2025-10-24 02:25:55.186920,0 days 00:00:54.480201,32,1e-07,0.00014628492016498587,0.0005276551211336384,easy_transform,COMPLETE
103,103,74.8,2025-10-24 02:25:55.187918,2025-10-24 02:26:49.697657,0 days 00:00:54.509739,32,1e-07,0.0015494602396093743,0.0005415129994432529,easy_transform,COMPLETE
104,104,73.8,2025-10-24 02:26:49.698654,2025-10-24 02:27:44.236395,0 days 00:00:54.537741,32,1e-07,0.0017911280076590274,0.0005206483538893274,easy_transform,COMPLETE
105,105,30.16,2025-10-24 02:27:44.237790,2025-10-24 02:28:23.826040,0 days 00:00:39.588250,1024,1e-07,0.006037771800390509,0.0005395822548531104,easy_transform,COMPLETE
106,106,52.64,2025-10-24 02:28:23.827037,2025-10-24 02:29:20.635371,0 days 00:00:56.808334,32,1e-05,0.054228389306959925,0.00044865234890524645,easy_transform,COMPLETE
107,107,47.58,2025-10-24 02:29:20.635371,2025-10-24 02:30:16.319617,0 days 00:00:55.684246,32,1e-07,0.08475284884938285,0.0005284595293865379,easy_transform,COMPLETE
108,108,27.04,2025-10-24 02:30:16.320718,2025-10-24 02:31:32.336988,0 days 00:01:16.016270,32,1e-07,0.0013300248203228402,0.0006318077040521021,crop_transform,COMPLETE
109,109,36.8,2025-10-24 02:31:32.337987,2025-10-24 02:32:17.391929,0 days 00:00:45.053942,256,1e-08,0.0006785622424010621,0.0002782425035764335,easy_transform,COMPLETE
110,110,15.74,2025-10-24 02:32:17.392928,2025-10-24 02:33:12.343584,0 days 00:00:54.950656,32,0.0,0.4771496682049898,0.0003107230734716361,easy_transform,COMPLETE
111,111,57.94,2025-10-24 02:33:12.344584,2025-10-24 02:34:07.539610,0 days 00:00:55.195026,32,1e-07,0.04749407898657229,0.0007517850395022892,easy_transform,COMPLETE
112,112,50.42,2025-10-24 02:34:07.540609,2025-10-24 02:35:02.790671,0 days 00:00:55.250062,32,1e-07,0.0727872128910278,0.0008656536864842169,easy_transform,COMPLETE
113,113,57.72,2025-10-24 02:35:02.791671,2025-10-24 02:36:01.389043,0 days 00:00:58.597372,32,1e-07,0.04891541012610899,0.0006832169835242328,easy_transform,COMPLETE
114,114,42.46,2025-10-24 02:36:01.390043,2025-10-24 02:36:57.224606,0 days 00:00:55.834563,32,1e-07,0.10121501142075727,0.00041037965539566997,easy_transform,COMPLETE
115,115,75.9,2025-10-24 02:36:57.224606,2025-10-24 02:37:52.573803,0 days 00:00:55.349197,32,1e-07,0.0007044890987766338,0.0006157397960965291,easy_transform,COMPLETE
116,116,58.26,2025-10-24 02:37:52.573803,2025-10-24 02:38:35.720828,0 days 00:00:43.147025,128,1e-07,0.0009622926121202898,0.0006157440686434788,easy_transform,COMPLETE
117,117,50.26,2025-10-24 02:38:35.721928,2025-10-24 02:39:30.742395,0 days 00:00:55.020467,32,1e-07,0.06733936387805538,0.0005017383495016799,easy_transform,COMPLETE
118,118,20.82,2025-10-24 02:39:30.743516,2025-10-24 02:40:26.121758,0 days 00:00:55.378242,32,1e-07,0.36516694875699085,0.00044213679207137706,easy_transform,COMPLETE
119,119,48.12,2025-10-24 02:40:26.121758,2025-10-24 02:41:23.368575,0 days 00:00:57.246817,32,0.001,0.04407655230024751,0.0003556970207656424,easy_transform,COMPLETE
120,120,66.96,2025-10-24 02:41:23.369575,2025-10-24 02:42:19.614636,0 days 00:00:56.245061,32,1e-07,0.01769691498199944,0.0005475776478999959,easy_transform,COMPLETE
121,121,68.4,2025-10-24 02:42:19.614636,2025-10-24 02:43:16.784252,0 days 00:00:57.169616,32,1e-07,0.015995786660581827,0.0005642832155408754,easy_transform,COMPLETE
122,122,67.1,2025-10-24 02:43:16.785251,2025-10-24 02:44:11.608877,0 days 00:00:54.823626,32,1e-07,0.018485894790771926,0.0006851277679897502,easy_transform,COMPLETE
123,123,54.94,2025-10-24 02:44:11.609876,2025-10-24 02:45:06.260661,0 days 00:00:54.650785,32,1e-07,0.05346746190999571,0.000545482746305551,easy_transform,COMPLETE
124,124,32.44,2025-10-24 02:45:06.260661,2025-10-24 02:46:02.014947,0 days 00:00:55.754286,32,1e-07,0.0018973961132585093,9.130944679149278e-05,easy_transform,COMPLETE
125,125,48.4,2025-10-24 02:46:02.016313,2025-10-24 02:46:57.309797,0 days 00:00:55.293484,32,0.0001,0.08049450351792724,0.0006117209787589669,easy_transform,COMPLETE
126,126,61.84,2025-10-24 02:46:57.309797,2025-10-24 02:47:52.441735,0 days 00:00:55.131938,32,1e-07,0.036642805342426574,0.0006843295652387807,easy_transform,COMPLETE
127,127,14.62,2025-10-24 02:47:52.442734,2025-10-24 02:48:44.652148,0 days 00:00:52.209414,1024,1e-07,0.01788811974511107,0.0004625320876775177,crop_transform,COMPLETE
128,128,75.26,2025-10-24 02:48:44.653149,2025-10-24 02:49:39.621733,0 days 00:00:54.968584,32,1e-07,0.001046604479683732,0.0005748698803592649,easy_transform,COMPLETE
129,129,53.2,2025-10-24 02:49:39.622733,2025-10-24 02:50:35.064654,0 days 00:00:55.441921,32,1e-07,0.06351231901131525,0.0005958189328333094,easy_transform,COMPLETE
130,130,2.84,2025-10-24 02:50:35.065651,2025-10-24 02:51:30.062424,0 days 00:00:54.996773,32,1e-07,0.8364592151523136,5.755657211915614e-05,easy_transform,COMPLETE
131,131,73.92,2025-10-24 02:51:30.062424,2025-10-24 02:52:26.455773,0 days 00:00:56.393349,32,1e-07,0.0016212096590721378,0.0005335241251520772,easy_transform,COMPLETE
132,132,59.02,2025-10-24 02:52:26.456979,2025-10-24 02:53:21.325155,0 days 00:00:54.868176,32,1e-07,0.03710948453823082,0.0005308359329381953,easy_transform,COMPLETE
133,133,69.24,2025-10-24 02:53:21.326471,2025-10-24 02:54:16.256831,0 days 00:00:54.930360,32,1e-07,0.01612138622607668,0.0007145527674118626,easy_transform,COMPLETE
134,134,74.54,2025-10-24 02:54:16.257941,2025-10-24 02:55:11.184099,0 days 00:00:54.926158,32,1e-07,0.0013801218493118598,0.000715912393104175,easy_transform,COMPLETE
135,135,20.06,2025-10-24 02:55:11.185093,2025-10-24 02:56:05.929617,0 days 00:00:54.744524,32,0.01,0.002392337285259726,0.0008821185125862124,easy_transform,COMPLETE
136,136,47.4,2025-10-24 02:56:05.930616,2025-10-24 02:56:48.419082,0 days 00:00:42.488466,256,1e-07,0.054801480626563696,0.0007076827768684901,easy_transform,COMPLETE
137,137,58.0,2025-10-24 02:56:48.420082,2025-10-24 02:57:43.734388,0 days 00:00:55.314306,32,1e-05,0.045868429858097935,0.0006467023780062142,easy_transform,COMPLETE
138,138,48.58,2025-10-24 02:57:43.735386,2025-10-24 02:58:38.520148,0 days 00:00:54.784762,32,1e-07,0.08877436507170317,0.0008234985005322825,easy_transform,COMPLETE
139,139,43.42,2025-10-24 02:58:38.521537,2025-10-24 02:59:18.552476,0 days 00:00:40.030939,512,0.0,0.03269922732853472,0.0007338596079795454,easy_transform,COMPLETE
140,140,74.06,2025-10-24 02:59:18.553476,2025-10-24 03:00:13.282984,0 days 00:00:54.729508,32,1e-07,0.0014318119732998989,0.0005896324581964468,easy_transform,COMPLETE
141,141,66.1,2025-10-24 03:00:13.284107,2025-10-24 03:01:07.985004,0 days 00:00:54.700897,32,1e-07,0.0179423353846297,0.00047610594493885193,easy_transform,COMPLETE
142,142,76.12,2025-10-24 03:01:07.986002,2025-10-24 03:02:02.399717,0 days 00:00:54.413715,32,1e-07,0.00014695927328848743,0.0006080328121045144,easy_transform,COMPLETE
